SEASON,TEAM,TEAM_CLEANED,PLAYER,NUMBER,AGE,POSITION,POSITION_TYPE,VALUE_EUR,PLAYER_LINK,NATIONALITY
2016,Melaka United FC,Melaka United FC,S. Sivanesan,6,25,Attacking Midfield,Forwards,71.0,https://www.transfermarkt.com/s-sivanesan/profil/spieler/483824,Malaysia
2016,Melaka United FC,Melaka United FC,Surendran Ravindran,7,28,Attacking Midfield,Goalkeeper,72.0,https://www.transfermarkt.com/surendran-ravindran/profil/spieler/483508,Malaysia
2016,Melaka United FC,Melaka United FC,Felipe Souza,10,24,Attacking Midfield,Goalkeeper,73.0,https://www.transfermarkt.com/felipe-souza/profil/spieler/510171,Brazil
2016,Melaka United FC,Melaka United FC,Norhakim Isa,13,22,Attacking Midfield,Goalkeeper,74.0,https://www.transfermarkt.com/norhakim-isa/profil/spieler/210757,Malaysia
2016,Melaka United FC,Melaka United FC,Mohd Azinee,17,25,Attacking Midfield,Goalkeeper,75.0,https://www.transfermarkt.com/mohd-azinee/profil/spieler/415651,Malaysia
2016,Melaka United FC,Melaka United FC,Jasmir Mehat,23,21,Attacking Midfield,Goalkeeper,76.0,https://www.transfermarkt.com/jasmir-mehat/profil/spieler/484763,Malaysia
2016,Melaka United FC,Melaka United FC,Sheang Tsung Tam,-,20,Left Winger,Goalkeeper,25000.0,https://www.transfermarkt.com/sheang-tsung-tam/profil/spieler/226789,Malaysia
2016,Melaka United FC,Melaka United FC,Yugan Poobathy,-,18,Right Winger,Defenders,78.0,https://www.transfermarkt.com/yugan-poobathy/profil/spieler/483505,Malaysia
2016,Melaka United FC,Melaka United FC,Ahmad Fakri Saarani,-,26,Right Winger,Defenders,79.0,https://www.transfermarkt.com/ahmad-fakri-saarani/profil/spieler/190994,Malaysia
2016,Melaka United FC,Melaka United FC,Amri Yahyah,-,34,Second Striker,Defenders,80.0,https://www.transfermarkt.com/amri-yahyah/profil/spieler/120049,Malaysia
2016,Melaka United FC,Melaka United FC,Fauzi Roslan,24,27,Second Striker,Defenders,81.0,https://www.transfermarkt.com/fauzi-roslan/profil/spieler/263258,Malaysia
2016,Melaka United FC,Melaka United FC,Egor Zubovich,-,26,Centre-Forward,Defenders,300000.0,https://www.transfermarkt.com/egor-zubovich/profil/spieler/120544,UdSSR
2016,Melaka United FC,Melaka United FC,Marko Simic,-,27,Centre-Forward,Defenders,75000.0,https://www.transfermarkt.com/marko-simic/profil/spieler/46650,Jugoslawien (SFR)
2016,Melaka United FC,Melaka United FC,Ilija Spasojević,-,28,Centre-Forward,Defenders,84.0,https://www.transfermarkt.com/ilija-spasojevic/profil/spieler/48765,Jugoslawien (SFR)
2016,Melaka United FC,Melaka United FC,Gopi Rizqi,-,26,Striker,Defenders,85.0,https://www.transfermarkt.com/gopi-rizqi/profil/spieler/264246,Malaysia
2016,Melaka United FC,Melaka United FC,Nurshamil Abd Ghani,-,21,Centre-Forward,Defenders,86.0,https://www.transfermarkt.com/nurshamil-abd-ghani/profil/spieler/315720,Malaysia
2016,Melaka United FC,Melaka United FC,Izzaq Faris Ramlan,14,25,Centre-Forward,Defenders,87.0,https://www.transfermarkt.com/izzaq-faris-ramlan/profil/spieler/196310,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Farhan Abu Bakar,-,22,Goalkeeper,Goalkeeper,88.0,https://www.transfermarkt.com/farhan-abu-bakar/profil/spieler/210746,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Abdul Hadi Abdul Hamid,1,28,Goalkeeper,Goalkeeper,89.0,https://www.transfermarkt.com/abdul-hadi-abdul-hamid/profil/spieler/224343,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Ifwat Akmal,25,19,Goalkeeper,Goalkeeper,90.0,https://www.transfermarkt.com/ifwat-akmal/profil/spieler/483400,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Asri Muhamad,31,17,Goalkeeper,Defenders,91.0,https://www.transfermarkt.com/asri-muhamad/profil/spieler/524947,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Zac Anderson,4,24,Centre-Back,Defenders,350000.0,https://www.transfermarkt.com/zac-anderson/profil/spieler/133827,Australia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Syawal Nordin,2,22,Centre-Back,Defenders,93.0,https://www.transfermarkt.com/syawal-nordin/profil/spieler/210765,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Osman Yusoff,5,21,Centre-Back,Defenders,94.0,https://www.transfermarkt.com/osman-yusoff/profil/spieler/227216,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Khairul Helmi,13,27,Centre-Back,Defenders,95.0,https://www.transfermarkt.com/khairul-helmi/profil/spieler/474569,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Muhammad Syazwan Tajudin,17,21,Centre-Back,Defenders,96.0,https://www.transfermarkt.com/muhammad-syazwan-tajudin/profil/spieler/210774,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Fitri Omar,-,30,Left-Back,Defenders,97.0,https://www.transfermarkt.com/fitri-omar/profil/spieler/289108,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Asri Mardzuki,24,21,Left-Back,Defenders,98.0,https://www.transfermarkt.com/asri-mardzuki/profil/spieler/227210,Malaysia
2016,Kedah Darul Aman FC,Kedah Darul Aman FC,Ariff Farhan,27,19,Left-Back,Defenders,99.0,https://www.transfermarkt.com/ariff-farhan/profil/spieler/243448,Malaysia
