Team,Player,Number,Age,Position,Group Position,Nationality,ValueEUR
Sri Pahang FC,Safuwan Baharudin,-,24,Defensive Midfield,Midfielders,Singapore,100000.0
Sri Pahang FC,Syamim Yahya,11,25,Midfielder,Midfielders,Malaysia,171.0
Sri Pahang FC,Ahmad Nordin Alias,18,30,Defensive Midfield,Midfielders,Malaysia,172.0
Sri Pahang FC,Salomon Raj,23,21,Defensive Midfield,Midfielders,Malaysia,173.0
Sri Pahang FC,Azam Azih,20,20,Central Midfield,Midfielders,Malaysia,174.0
Sri Pahang FC,Joseph Kalang Tie,-,28,Attacking Midfield,Midfielders,Malaysia,175.0
Sri Pahang FC,Ashaari Samsuddin,5,30,Attacking Midfield,Midfielders,Malaysia,176.0
Sri Pahang FC,Yamil Romero,10,20,Attacking Midfield,Midfielders,Argentina,177.0
Sri Pahang FC,Nurridzuan Hassan,16,23,Attacking Midfield,Midfielders,Malaysia,178.0
Sri Pahang FC,Faisal Halim,7,17,Left Winger,Midfielders,Malaysia,179.0
Sri Pahang FC,Wan Zaharulnizam Zakaria,8,24,Left Winger,Midfielders,Malaysia,180.0
Sri Pahang FC,Sharul Nizam,34,19,Left Winger,Midfielders,Malaysia,181.0
Sri Pahang FC,C. Jayaselan,6,29,Right Winger,Midfielders,Malaysia,182.0
Sri Pahang FC,Mohamadou Sumareh,26,21,Right Winger,Midfielders,Malaysia,183.0
Sri Pahang FC,Kogileswaran Raj,28,17,Right Winger,Midfielders,Malaysia,184.0
Sri Pahang FC,Zuhair Aizat,33,19,Right Winger,Midfielders,Malaysia,185.0
Sri Pahang FC,Matheus Alves,29,22,Centre-Forward,Forwards,Brazil,350000.0
Sri Pahang FC,Bright Dike,-,28,Centre-Forward,Forwards,Nigeria,150000.0
Sri Pahang FC,Norshahrul Idlan,-,29,Centre-Forward,Forwards,Malaysia,188.0
Selangor FC II,Zamir Selamat,-,26,Goalkeeper,Goalkeeper,Malaysia,189.0
Selangor FC II,G. Jeevananthan,1,35,Goalkeeper,Goalkeeper,Malaysia,190.0
Selangor FC II,Haziq Aris,25,25,Goalkeeper,Goalkeeper,Malaysia,191.0
Selangor FC II,Tauffiq Ar Rashid,30,20,Goalkeeper,Goalkeeper,Malaysia,192.0
Selangor FC II,Abdou Jammeh,12,29,Centre-Back,Defenders,The Gambia,250000.0
Selangor FC II,Gonzalo Soto,-,25,Centre-Back,Defenders,Argentina,75000.0
Selangor FC II,Arip Amiruddin,-,23,Centre-Back,Defenders,Malaysia,195.0
Selangor FC II,Abdul Ghani Rahman,17,30,Centre-Back,Defenders,Malaysia,196.0
Selangor FC II,Mohd Nizam,24,31,Centre-Back,Defenders,Malaysia,197.0
Selangor FC II,Amirizwan Taj,26,29,Centre-Back,Defenders,Malaysia,198.0
Selangor FC II,Qayyum Marjoni,-,21,Left-Back,Defenders,Malaysia,199.0
Selangor FC II,P. Gunalan,15,34,Left-Back,Defenders,Malaysia,200.0
Selangor FC II,Kwang-il Park,2,24,Right-Back,Defenders,"Korea, South",25000.0
Selangor FC II,Sabree Abu,-,28,Right-Back,Defenders,Malaysia,202.0
Selangor FC II,Azmi Muslim,-,29,Right-Back,Defenders,Malaysia,203.0
Selangor FC II,Azreen Zulkafali,16,26,Right-Back,Defenders,Malaysia,204.0
Selangor FC II,Azmizi Azmi,27,29,Right-Back,Defenders,Malaysia,205.0
Selangor FC II,Munir Amran,6,32,Midfielder,Midfielders,Malaysia,206.0
Selangor FC II,Fauzan Dzulkifli,13,28,Defensive Midfield,Midfielders,Malaysia,207.0
Selangor FC II,M. Sivakumar,18,31,Defensive Midfield,Midfielders,Malaysia,208.0
Selangor FC II,Affize Faisal Mamat,20,26,Defensive Midfield,Midfielders,Malaysia,209.0
Selangor FC II,K.Gurusamy,29,27,Defensive Midfield,Midfielders,Malaysia,210.0
Selangor FC II,Khairu Azrin,8,24,Central Midfield,Midfielders,Malaysia,211.0
Selangor FC II,Shahrul Azhar,5,30,Right Midfield,Midfielders,Malaysia,212.0
Selangor FC II,P. Rajes,7,30,Right Midfield,Midfielders,Malaysia,213.0
Selangor FC II,Khairul Ramadhan Zauwawi,19,27,Left Midfield,Midfielders,Malaysia,214.0
Selangor FC II,Alif Haikal Sabri,23,20,Left Midfield,Midfielders,Malaysia,215.0
Selangor FC II,Lucas Espíndola,-,21,Attacking Midfield,Midfielders,Argentina,216.0
Selangor FC II,S. Sivanesan,-,25,Attacking Midfield,Midfielders,Malaysia,217.0
Selangor FC II,Nazrin Syamsul Bahri,11,25,Left Winger,Midfielders,Malaysia,218.0
Selangor FC II,Fábio Ferreira,21,26,Right Winger,Midfielders,Portugal,750000.0
Selangor FC II,Khyril Muhymeen,14,28,Right Winger,Midfielders,Malaysia,220.0
Selangor FC II,Matías Jadue,-,23,Centre-Forward,Forwards,Palestine,150000.0
Selangor FC II,Failee Ghazli,-,28,Centre-Forward,Forwards,Malaysia,222.0
Selangor FC II,Jafri Firdaus Chew,-,18,Centre-Forward,Forwards,Malaysia,223.0
Selangor FC II,Patrick Wleh,4,24,Centre-Forward,Forwards,Liberia,224.0
Selangor FC II,Bobby Gonzales,9,31,Centre-Forward,Forwards,Malaysia,225.0
Selangor FC II,Safee Sali,10,31,Centre-Forward,Forwards,Malaysia,226.0
